前回テスト点数,補講フラグ,今回テスト点数
78,0,72
97,0,100
69,1,82
56,1,55
74,0,84
81,0,92
69,1,68
53,1,57
79,0,79
92,0,100
92,0,84
84,0,90
87,0,84
73,0,74
87,0,95
84,0,78
78,0,84
59,1,65
73,0,69
84,0,72
83,0,82
71,0,69
73,0,72
68,1,71
97,0,93
65,1,74
62,1,66
83,0,82
66,1,74
71,0,68
83,0,79
75,0,78
86,0,83
80,0,75
70,1,69
86,0,85
69,1,78
71,0,60
77,0,76
81,0,90
65,1,71
83,0,87
77,0,70
66,1,69
79,0,75
86,0,93
86,0,84
63,1,69
83,0,90
95,0,84
70,1,77
71,0,66
69,1,73
93,0,95
76,0,77
84,0,80
74,0,77
85,0,91
72,0,72
85,0,91
82,0,88
78,0,72
86,0,82
76,0,78
84,0,79
76,0,79
66,1,69
75,0,72
86,0,73
85,0,84
71,0,77
69,1,61
62,1,66
65,1,67
62,1,58
56,1,51
91,0,93
61,1,61
68,1,68
95,0,98
78,0,76
74,0,70
94,0,95
90,0,100
88,0,90
81,0,71
63,1,65
79,0,87
67,1,84
68,1,66
78,0,85
80,0,81
69,1,73
68,1,71
77,0,80
82,0,83
78,0,80
72,0,61
80,0,84
90,0,84
66,1,61
62,1,68
76,0,78
63,1,65
83,0,79
78,0,79
95,0,93
79,0,82
63,1,74
83,0,85
59,1,66
75,0,79
88,0,93
86,0,92
71,0,66
85,0,80
69,1,69
93,0,92
95,0,93
69,1,59
61,1,62
71,0,55
75,0,77
86,0,86
66,1,70
78,0,87
63,1,69
77,0,78
85,0,83
74,0,82
78,0,83
86,0,97
80,0,81
79,0,81
65,1,74
66,1,80
52,1,62
85,0,88
72,0,70
74,0,60
75,0,77
67,1,64
76,0,74
70,1,71
86,0,85
69,1,80
52,1,58
71,0,64
77,0,65
66,1,72
63,1,60
75,0,75
56,1,65
68,1,81
69,1,66
75,0,79
74,0,80
69,1,75
75,0,77
76,0,84
70,1,80
53,1,49
67,1,66
72,0,67
72,0,70
69,1,60
90,0,93
72,0,68
82,0,82
60,1,55
63,1,59
69,1,65
67,1,69
70,1,70
72,0,64
68,1,69
66,1,71
58,1,61
66,1,72
54,1,53
69,1,68
73,0,79
76,0,74
64,1,57
80,0,68
52,1,51
84,0,86
82,0,85
87,0,91
66,1,74
66,1,76
70,1,84
73,0,78
94,0,82
75,0,72
78,0,70
81,0,78
72,0,73
80,0,84
84,0,78
